X,Y,FID,geocode,uploadadd,shmeio
23.906824232085,37.74891860164,"92","102",ΣΑΡΩΝΙΔΑ ΤΕΡΜΑ ΛΕΩΦΟΡΕΙΩΝ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.5594537965536,37.9638082978839,"93","103",ΠΕΡΑΜΑ ΤΕΡΜΑ ΛΕΩΦΟΡΕΙΩΝ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.7981864732,38.0229543475082,"94","105",ΓΥΦΤΟΠΟΥΛΟΥ ΚΑΙ ΚΟΛΟΚΟΤΡΩΝΗ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.738078400909,38.0339894815391,"95","106",ΠΛΑΤΕΙΑ ΕΛ. ΒΕΝΙΖΕΛΟΥ-ΦΙΛΑΔΕΛΦΕΙΑ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.7212116331344,37.9915451856174,"96","107",ΠΛΑΤΕΙΑ ΣΤΑΘΜΟΥ ΛΑΡΙΣΣΗΣ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.7705965158789,37.9774978409906,"97","108",ΠΛΑΤΕΙΑ ΓΑΡΔΕΝΙΑΣ-ΖΩΓΡΑΦΟΥ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.8209506808149,38.013483115343,"98","109",ΠΛΑΤΕΙΑ ΑΓ.ΠΑΡΑΣΚΕΥΗΣ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.7436749051291,37.9961475133008,"99","110",ΔΙΚΑΣΤΗΡΙΑ ΕΥΕΛΠΙΔΩΝ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.8117258811623,38.0726322429351,"100","111",ΠΛΑΤΑΝΟΣ ΚΗΦΙΣΙΑΣ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.9146611346237,37.9618634689533,"101","112",ΠΑΛΙΟ ΔΗΜΑΡΧΕΙΟ-ΣΠΑΤΑ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.6986800891781,37.9983901673215,"102","113",ΚΤΕΛ ΚΗΦΙΣΟΥ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.7225806656274,38.0103654017636,"103","114",ΚΤΕΛ ΛΙΟΣΙΩΝ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.7612890712201,38.0616156637526,"104","115",ΠΛΑΤΕΙΑ ΜΕΤΑΜΟΡΦΩΣΗΣ (ΗΡΩΩΝ ΠΟΛ/ΧΝΕΙΟΥ) (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.5403403422534,38.0438202829997,"105","116",ΠΛΑΤΕΙΑ ΕΥΜΟΛΠΙΔΩΝ ΕΛΕΥΣΙΝΑ (ΗΡΩΩΝ) (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.9470651635525,37.9367828859669,"106","117",ΑΕΡΟΔΡΟΜΙΟ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.7189990825896,38.027532060125,"107","118",ΠΛΑΤΕΙΑ ΑΓ.ΑΝΑΡΓΥΡΩΝ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.6663605018861,38.0108289975329,"108","119",ΔΗΜΑΡΧΕΙΟ ΧΑΙΔΑΡΙΟΥ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.7414848124664,38.0022650966455,"109","120",ΠΛΑΤΕΙΑ ΚΥΨΕΛΗΣ-ΑΘΗΝΑ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.6464673099192,37.9425037353073,"110","121",ΠΛΑΤΕΙΑ ΚΟΡΑΗ-ΠΕΙΡΑΙΑΣ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.6298242226504,37.9386348604298,"111","122",ΟΛΠ 2 (ΧΑΤΖΗΚΥΡΙΑΚΟΥ) (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.6413460144845,37.945574036,"112","123",ΟΛΠ 1 (Ε8) (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.7470777234254,37.9676595587461,"113","124",ΠΛΑΤΕΙΑ ΠΑΓΚΡΑΤΙΟΥ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.6366451306027,37.9488475124794,"114","125",ΟΛΠ3. ΠΥΛΗ Ε3. ΑΚΤΗ ΒΑΣΙΛΕΙΑΔΗ & ΗΕΤΙΩΝΕΙΑ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
23.6472596239998,37.965575313741,"115","126",ΣΤ.ΜΕΤΡΟ ΝΙΚΑΙΑ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.6503156925964,37.9771430824062,"116","127",ΣΤ.ΜΕΤΡΟ ΚΟΡΥΔΑΛΛΟΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.6594156264245,37.9899472941261,"117","128",ΣΤ.ΜΕΤΡΟ ΑΓ.ΒΑΡΒΑΡΑ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7235086253159,37.9602968030938,"118","129",ΚΑΣΟΜΟΥΛΗ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.7273084989677,37.9578001259098,"119","130",ΝΕΟΣ ΚΟΣΜΟΣ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.723701763102,37.9544030920924,"120","131",ΜΠΑΚΝΑΝΑ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.7189029628542,37.9501013265585,"121","132",ΑΙΓΑΙΟΥ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.7150015795753,37.9464956679108,"122","133",ΑΓΙΑΣ ΦΩΤΕΙΝΗΣ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.7138993467217,37.9429960971927,"123","134",ΜΕΓΑΛΟΥ ΑΛΕΞΑΝΔΡΟΥ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.7128986234952,37.939902309552,"124","135",ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.712000308211,37.9368990785447,"125","136",ΜΗΔΕΙΑΣ-ΜΥΚΑΛΗΣ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.710808243829,37.9331014699297,"126","137",ΕΥΑΓΓΕΛΙΚΗ ΣΧΟΛΗ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.7098991487615,37.9298995650089,"127","138",ΑΧΙΛΛΕΩΣ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.706002257059,37.9284030747941,"128","139",ΑΜΦΙΘΕΑΣ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.7019975675224,37.9254992867205,"129","140",ΠΑΝΑΓΙΤΣΑ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.6998038815986,37.9219965903498,"130","141",ΜΟΥΣΩΝ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.6965070645058,37.9215019618821,"131","142",ΜΠΑΤΗΣ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.6871017034811,37.9312018835036,"132","143",ΤΡΟΚΑΝΤΕΡΟ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.7008081980862,37.9185022311588,"133","144",ΕΔΕΜ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.7109070585103,37.9107943535097,"134","145",ΚΑΛΑΜΑΚΙ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.7169078046082,37.9065006672537,"135","146",ΖΕΦΥΡΟΣ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.7475062198159,37.8634975448512,"136","147",ΠΛΑΤΕΙΑ ΚΑΤΡΑΚΗ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
23.7512036855253,37.8628025278191,"137","148",ΑΓΓΕΛΟΥ ΜΕΤΑΞΑ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΤΡΑΜ
