TK,LOCALITY,bandavedailycbu,totaconsumption,totaldays,average_daily_consumption,totalparoxes,YYYYMM
10443,ΚΟΛΟΚΥΝΘΟΥ,Κλάση Β,22274,84687,0.3,2738,Jan-23
10443,ΚΟΛΟΚΥΝΘΟΥ,Κλάση Γ,6300,10264,0.6,333,Jan-23
10443,ΚΟΛΟΚΥΝΘΟΥ,Κλάση Δ,1475,827,1.8,28,Jan-23
10443,ΚΟΛΟΚΥΝΘΟΥ,Κλάση Ε,4470,62,72.1,2,Jan-23
10443,ΚΟΛΩΝΟΣ,Κλάση A,392,13891,0.0,455,Jan-23
10443,ΚΟΛΩΝΟΣ,Κλάση Β,6482,25455,0.3,823,Jan-23
10443,ΚΟΛΩΝΟΣ,Κλάση Γ,2155,3441,0.6,111,Jan-23
10443,ΛΟΦΟΣ ΣΚΟΥΖΕ,Κλάση A,749,26475,0.0,854,Jan-23
10443,ΛΟΦΟΣ ΣΚΟΥΖΕ,Κλάση Β,10721,41230,0.3,1330,Jan-23
10443,ΛΟΦΟΣ ΣΚΟΥΖΕ,Κλάση Γ,3088,5115,0.6,165,Jan-23
10443,ΛΟΦΟΣ ΣΚΟΥΖΕ,Κλάση Δ,368,248,1.5,8,Jan-23
10443,ΣΕΠΟΛΙΑ,Κλάση A,2785,94505,0.0,3054,Jan-23
10443,ΣΕΠΟΛΙΑ,Κλάση Β,38970,149759,0.3,4832,Jan-23
10443,ΣΕΠΟΛΙΑ,Κλάση Γ,10782,17557,0.6,567,Jan-23
10443,ΣΕΠΟΛΙΑ,Κλάση Δ,2611,1674,1.6,54,Jan-23
10443,ΣΕΠΟΛΙΑ,Κλάση Ε,2508,104,24.1,5,Jan-23
10444,ΚΟΛΩΝΟΣ,Κλάση A,3484,127127,0.0,4120,Jan-23
10444,ΚΟΛΩΝΟΣ,Κλάση Β,43167,169221,0.3,5465,Jan-23
10444,ΚΟΛΩΝΟΣ,Κλάση Γ,12862,20719,0.6,671,Jan-23
10444,ΚΟΛΩΝΟΣ,Κλάση Δ,2042,1378,1.5,48,Jan-23
10444,ΚΟΛΩΝΟΣ,Κλάση Ε,2357,176,13.4,6,Jan-23
10444,ΛΟΦΟΣ ΣΚΟΥΖΕ,Κλάση A,643,24232,0.0,783,Jan-23
10444,ΛΟΦΟΣ ΣΚΟΥΖΕ,Κλάση Β,7314,28623,0.3,924,Jan-23
10444,ΛΟΦΟΣ ΣΚΟΥΖΕ,Κλάση Γ,2008,3255,0.6,105,Jan-23
10444,ΛΟΦΟΣ ΣΚΟΥΖΕ,Κλάση Δ,521,372,1.4,12,Jan-23
10444,ΣΕΠΟΛΙΑ,Κλάση A,58,1643,0.0,53,Jan-23
10444,ΣΕΠΟΛΙΑ,Κλάση Β,543,2139,0.3,69,Jan-23
10444,ΣΕΠΟΛΙΑ,Κλάση Γ,52,93,0.6,3,Jan-23
10445,ΑΓ. ΜΕΛΕΤΙΟΥ,Κλάση A,77,3267,0.0,106,Jan-23
10445,ΑΓ. ΜΕΛΕΤΙΟΥ,Κλάση Β,955,3999,0.2,129,Jan-23
10445,ΑΓ. ΜΕΛΕΤΙΟΥ,Κλάση Γ,210,341,0.6,11,Jan-23
10445,ΑΓ. ΜΕΛΕΤΙΟΥ,Κλάση Δ,162,62,2.6,2,Jan-23
10445,ΑΓ. ΝΙΚΟΛΑΟΣ,Κλάση A,132,5084,0.0,164,Jan-23
10445,ΑΓ. ΝΙΚΟΛΑΟΣ,Κλάση Β,1708,6541,0.3,211,Jan-23
10445,ΑΓ. ΝΙΚΟΛΑΟΣ,Κλάση Γ,392,620,0.6,20,Jan-23
10445,ΒΑΘΗΣ,Κλάση Γ,26,38,0.7,2,Jan-23
10445,ΒΑΘΗΣ,Κλάση Δ,234,86,2.7,3,Jan-23
10445,ΘΥΜΑΡΑΚΙΑ,Κλάση A,2304,88754,0.0,2864,Jan-23
10445,ΘΥΜΑΡΑΚΙΑ,Κλάση Β,26805,106827,0.3,3447,Jan-23
